id;matricula;marca;modelo;anyo
1;user-centric Cambridgeshire Hogar;multitarea Monte;Violeta;2021-05-18
2;Pequeño;Configuración;Plástico Camiseta;2021-05-19
3;Descentralizado;Mercados;leading-edge morph withdrawal;2021-05-19
4;THX sensor intangible;Sincronizado brand Acero;Música deposit;2021-05-18
5;deposit revolutionary;copy Acero Principado;Algodón Representante Cambridgeshire;2021-05-19
6;embrace Inversor withdrawal;Berkshire Fiji sensor;Implementación Multi Personal;2021-05-19
7;Buckinghamshire EXE relationships;programming multitarea partnerships;Granito input Cataluña;2021-05-19
8;Loan;Salud XSS;Grecia abierta;2021-05-19
9;Hormigon Yemeni Cambridgeshire;Alemania Checking Franc;Soluciones;2021-05-18
10;Ladrillo Hormigon Nacional;Representante;invoice;2021-05-19
